rgb_path,depth_path,ir_path,label,video_id
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/101.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/101.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/101.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/11.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/11.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/11.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/111.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/111.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/111.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/121.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/121.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/121.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/131.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/131.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/131.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/141.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/141.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/141.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/151.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/151.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/151.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/161.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/161.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/161.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/171.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/171.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/171.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/181.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/181.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/181.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/191.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/191.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/191.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/201.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/201.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/201.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/21.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/21.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/21.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/211.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/211.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/211.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/31.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/31.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/31.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/41.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/41.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/41.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/51.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/51.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/51.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/61.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/61.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/61.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/71.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/71.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/71.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/81.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/81.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/81.jpg,0,casia-surf-94
Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/color/91.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/depth/91.jpg,Training/fake_part/CLKJ_AS0260/04_en_b.rssdk/ir/91.jpg,0,casia-surf-94
Training/fake_part/CLKJ_BS0571/04_en_b.rssdk/color/101.jpg,Training/fake_part/CLKJ_BS0571/04_en_b.rssdk/depth/101.jpg,Training/fake_part/CLKJ_BS0571/04_en_b.rssdk/ir/101.jpg,0,casia-surf-352
